date,time,location,growth
2020-01-24,2,Mid West,0
2020-01-24,2,Mountain West,0
2020-01-24,2,North East,0
2020-01-24,2,Other,0
2020-01-24,2,Pacific West,0
2020-01-24,2,South,0
2020-01-24,2,South West,0
2020-01-25,3,Mid West,0
2020-01-25,3,Mountain West,0
2020-01-25,3,North East,0
2020-01-25,3,Other,0
2020-01-25,3,Pacific West,0
2020-01-25,3,South,0
2020-01-25,3,South West,0
2020-01-26,4,Mid West,0
2020-01-26,4,Mountain West,0
2020-01-26,4,North East,0
2020-01-26,4,Other,0
2020-01-26,4,Pacific West,0
2020-01-26,4,South,0
2020-01-26,4,South West,0
2020-01-27,5,Mid West,0
2020-01-27,5,Mountain West,0
2020-01-27,5,North East,0
2020-01-27,5,Other,0
2020-01-27,5,Pacific West,0
2020-01-27,5,South,0
2020-01-27,5,South West,0
2020-01-28,6,Mid West,0
2020-01-28,6,Mountain West,0
2020-01-28,6,North East,0
2020-01-28,6,Other,0
2020-01-28,6,Pacific West,0
2020-01-28,6,South,0
2020-01-28,6,South West,0
2020-01-29,7,Mid West,0
2020-01-29,7,Mountain West,0
2020-01-29,7,North East,0
2020-01-29,7,Other,0
2020-01-29,7,Pacific West,0
2020-01-29,7,South,0
2020-01-29,7,South West,0
2020-01-30,8,Mid West,0
2020-01-30,8,Mountain West,0
2020-01-30,8,North East,0
2020-01-30,8,Other,0
2020-01-30,8,Pacific West,0
2020-01-30,8,South,0
2020-01-30,8,South West,0
2020-01-31,9,Mid West,0
2020-01-31,9,Mountain West,0
2020-01-31,9,North East,0
2020-01-31,9,Other,0
2020-01-31,9,Pacific West,0
2020-01-31,9,South,0
2020-01-31,9,South West,0
2020-02-01,10,Mid West,0
2020-02-01,10,Mountain West,0
2020-02-01,10,North East,0
2020-02-01,10,Other,0
2020-02-01,10,Pacific West,0
2020-02-01,10,South,0
2020-02-01,10,South West,0
2020-02-02,11,Mid West,0
2020-02-02,11,Mountain West,0
2020-02-02,11,North East,0
