date,deaths,cases
2020-01-24,1,99
2020-01-25,8,286.9
2020-01-26,16,493
2020-01-27,14,684
2020-01-28,26,809
2020-01-29,49,2651
2020-01-30,2,589
2020-01-31,38,2067.9
2020-02-01,42,1691.9
2020-02-02,46,2111
2020-02-03,102.9,4749
2020-02-04,64,3100
2020-02-05,66,4011
2020-02-06,72,3745
2020-02-07,70,3160
2020-02-08,85,3593
2020-02-09,87,2734
2020-02-10,100,3030
2020-02-11,107,2609
2020-02-12,100,2042
2020-02-13,5,418
2020-02-14,253,15153
2020-02-15,152,6527
2020-02-16,142.9,2142
2020-02-17,104,2184
2020-02-18,98,2035
2020-02-19,140,1882
2020-02-20,115,500
2020-02-21,125,560
2020-02-22,4,629
2020-02-23,207,1761
2020-02-24,11,380
2020-02-25,160,564
2020-02-26,80,853
2020-02-27,61,977
2020-02-28,43,1360
2020-02-29,59,1387
2020-03-01,68.9,1890
2020-03-02,54,2381
2020-03-03,89,1983
2020-03-04,75,2594
2020-03-05,95,2308
2020-03-06,94,2811
2020-03-07,111,3913
2020-03-08,104,4095
2020-03-09,239,3949
2020-03-10,190,4172
2020-03-11,274,4822
2020-03-12,343.9,7661
2020-03-13,306,5790
2020-03-14,497,14387
2020-03-15,420,11073
2020-03-16,641,11270
2020-03-17,678,14810
2020-03-18,811.9,15944
2020-03-19,903,19559
2020-03-20,1112,27049
2020-03-21,1481,30777
2020-03-22,1722,32002
2020-03-23,1674,34831
2020-03-24,1941,42851
2020-03-25,2285,41160
2020-03-26,2799,51018
2020-03-27,3020,62830
2020-03-28,3494,65061
2020-03-29,3716,67246
2020-03-30,3476,59252
2020-03-31,4052,65278
2020-04-01,4749,76849
2020-04-02,5959,82791
2020-04-03,5853,83047
2020-04-04,6124,83530
2020-04-05,6172,58408
2020-04-06,5184,72608
2020-04-07,5926,73170
2020-04-08,8231,69833
2020-04-09,6749,83356
2020-04-10,7746,87040
2020-04-11,7390,85533
2020-04-12,6235,74355
2020-04-13,5829,119720
2020-04-14,5927,70720
2020-04-15,6966,83943
2020-04-16,8350,77140
2020-04-17,7278,95560
2020-04-18,8365,87682
2020-04-19,6023,77311
2020-04-20,5262,76701
2020-04-21,5875,76019
2020-04-22,7180,75619
2020-04-23,6719,81151
2020-04-24,6827,84274
2020-04-25,6666,84071
2020-04-26,5638,82248
2020-04-27,3957,71666
2020-04-28,4672,70108
2020-04-29,6529,75295
2020-04-30,6726,77064
2020-05-01,5981,83513
2020-05-02,5160,88381
2020-05-03,5526,79230
2020-05-04,3485,76470
2020-05-05,4107,77585
2020-05-06,5874,80435
2020-05-07,6548,89961
2020-05-08,5288,88679
2020-05-09,5477,90418
2020-05-10,4278,85104
2020-05-11,3604,75259
2020-05-12,3465,76511
2020-05-13,5527,84334
2020-05-14,5071,84958
2020-05-15,5189,96177
2020-05-16,5119,95699
2020-05-17,4275,94767
2020-05-18,3198,77870
2020-05-19,3700,89028
2020-05-20,4695,96737
2020-05-21,4759,101739
2020-05-22,4720,106628
2020-05-23,5269,106588
2020-05-24,3972,104919
2020-05-25,3000,94178
2020-05-26,1202,86813
2020-05-27,4182,93781
2020-05-28,5065,102834
2020-05-29,4606,118839
2020-05-30,4598,121175
2020-05-31,4061,136817
2020-06-01,2980,106559
2020-06-02,3085,95724
2020-06-03,4713,121535
2020-06-04,5436,114308
2020-06-05,5130,130712
2020-06-06,4548,131220
2020-06-07,3856,134201
2020-06-08,2752,112103
2020-06-09,3690,102577
2020-06-10,4827,124725
2020-06-11,5052,134890
2020-06-12,4680,137947
2020-06-13,4213,128485
2020-06-14,4191,135248
2020-06-15,3417,132507
2020-06-16,3420,119507
2020-06-17,6722,141793
2020-06-18,5095,143259
2020-06-19,4961,140289
2020-06-20,6151,179739
2020-06-21,4204,157080
2020-06-22,4013,127586
2020-06-23,3560,138602
2020-06-24,5219,165911
2020-06-25,5177,171578
2020-06-26,4691,177947
2020-06-27,4708,191334
2020-06-28,4484,177653
2020-06-29,3152,163332
2020-06-30,3736,154819
2020-07-01,4932,173974
2020-07-02,4935,217334
2020-07-03,5070,209508
2020-07-04,4939,201150
2020-07-05,4393,194008
2020-07-06,3488,184062
2020-07-07,3837,163850
2020-07-08,6003,211255
2020-07-09,5302,214300
2020-07-10,5385,227043
2020-07-11,5286,232485
2020-07-12,4811,217294
2020-07-13,3995,192485
2020-07-14,3898,190984
2020-07-15,5588,222268
2020-07-16,5418,231504
2020-07-17,5771,251173
2020-07-18,6646,242190
2020-07-19,5625,236484
2020-07-20,4077,213702
2020-07-21,4201,206670
2020-07-22,6185,233981
2020-07-23,6924,280175
2020-07-24,9905,283094
2020-07-25,6058,281200
2020-07-26,5524,254158
2020-07-27,3708,213213
2020-07-28,5191,226042
2020-07-29,6294,252554
2020-07-30,6587,291583
2020-07-31,6038,280183
2020-08-01,6210,290774
2020-08-02,5463,248522
2020-08-03,4309,231210
2020-08-04,4671,206500
2020-08-05,6604,257694
2020-08-06,7005,276182
2020-08-07,6462,285428
2020-08-08,6294,281785
2020-08-09,5427,258707
2020-08-10,4583,224933
2020-08-11,5268,226725
2020-08-12,6210,256612
2020-08-13,6595,277416
2020-08-14,6210,289802
2020-08-15,10124,304129
